Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Unnamed: 10,investor_type
Male,19,0,0,"Stocks - Intraday, long term",5000.0,Social media/ Articles,Mobile applications,Personal Savings,5.0,,aggressive
Male,20,0,80,"Stocks - Intraday, long term",1000.0,Friends,Family members/Friends,Personal Savings,5.0,,aggressive
Male,22,0,0,Gold / Any other Materialistic investment,2000.0,Friends,Family members/Friends,All the above ,3.0,,moderate
Male,21,1,120000,Mutual Funds,3000.0,Agents/Investment brokers,Family members/Friends,Construction of own House / Buying a new Car,10.0,,aggressive
Female,30,1,180000,Mutual Funds,3000.0,Family member,Family members/Friends,Personal Savings,10.0,,moderate
Female,45,1,200000,Mutual Funds,2000.0,Self,Books,Wealth generation,20.0,,moderate
Male,21,0,0,Mutual Funds,10000.0,Family member,Mobile applications,Personal Savings,10.0,,moderate
Male,21,0,0,"Stocks - Intraday, long term",1000.0,Friends,Family members/Friends,Planning for finacial freedom after Retirement,1.0,,aggressive
Female,22,0,0,"Banking - RD, FD",2000.0,Family member,Family members/Friends,Personal Savings,10.0,,conservative
Male,24,1,200000,"Stocks - Intraday, long term",1000.0,Friends,Mobile applications,Personal Savings,10.0,,aggressive
Female,22,0,0,"Banking - RD, FD",500.0,Family member,Family members/Friends,Personal Savings,6.0,,conservative
Male,24,0,0,"Stocks - Intraday, long term",1000.0,Social media/ Articles,Books,Wealth generation,7.0,,aggressive
Female,29,1,280000,Gold / Any other Materialistic investment,4000.0,Family member,Family members/Friends,Personal Savings,4.0,,conservative
Male,26,1,350000,Mutual Funds,3000.0,Self motivation ,News articles / Current affairs,Tax saving,10.0,,moderate
Male,22,0,0,"Stocks - Intraday, long term",2000.0,Friends,Mobile applications,Personal Savings,6.0,,aggressive
Female,27,1,400000,Mutual Funds,5000.0,Social media/ Articles,Mobile applications,Tax saving,8.0,,moderate
Male,24,1,250000,"Stocks - Intraday, long term",2000.0,Friends,Family members/Friends,Regarding your / Your Siblings marriage,6.0,,aggressive
Male,25,1,400000,Mutual Funds,2500.0,Through Bank,Family members/Friends,Construction of own House / Buying a new Car,10.0,,moderate
Female,22,0,0,"Stocks - Intraday, long term",500.0,Friends,Books,Regarding your / Your Siblings marriage,5.0,,aggressive
Male,26,1,400000,"Real estate, Bonds",4500.0,Self ,Family members/Friends,Wealth generation,10.0,,aggressive
Male,21,0,0,Crypto currency,0.0,Social media/ Articles,Mobile applications,Construction of own House / Buying a new Car,15.0,,aggressive
Male,28,1,350000,Mutual Funds,5000.0,Through Bank,Family members/Friends,Children's education/ Marriage,15.0,,conservative
Female,24,1,200000,"Stocks - Intraday, long term",1000.0,Friends,Mobile applications,Planning for finacial freedom after Retirement,15.0,,aggressive
Male,25,1,350000,Gold / Any other Materialistic investment,2500.0,Family member,Family members/Friends,Tax saving,4.0,,moderate
Male,26,1,400000,Mutual Funds,2500.0,Agents/Investment brokers,News articles / Current affairs,Regarding your / Your Siblings marriage,10.0,,moderate
Female,18,0,0,"Banking - RD, FD",200.0,Family member,Family members/Friends,Personal Savings,5.0,,conservative
Male,27,1,400000,"Stocks - Intraday, long term",1000.0,Social media/ Articles,Mobile applications,Wealth generation,8.0,,aggressive
Male,27,1,250000,"Stocks - Intraday, long term",1500.0,Friends,Mobile applications,Construction of own House / Buying a new Car,5.0,,aggressive
Female,23,1,150000,"Stocks - Intraday, long term",1000.0,Family member,Family members/Friends,Personal Savings,7.0,,aggressive
Male,36,1,600000,"Real estate, Bonds",8500.0,Friends,News articles / Current affairs,Tax saving,10.0,,moderate
Female,29,0,0,Chit fund,1000.0,Family member,Family members/Friends,Personal Savings,1.0,,conservative
Male,28,1,400000,"Stocks - Intraday, long term",1200.0,Social media/ Articles,Mobile applications,Planning for finacial freedom after Retirement,15.0,,moderate
Male,23,1,150000,Mutual Funds,500.0,Agents/Investment brokers,Brokers,Wealth generation,8.0,,aggressive
Female,27,1,350000,"Banking - RD, FD",2500.0,Family member,Family members/Friends,Children's education/ Marriage,10.0,,conservative
Male,29,1,400000,Mutual Funds,3000.0,Friends,Books,Children's education/ Marriage,10.0,,moderate
Female,25,1,400000,Mutual Funds,3000.0,Through Bank,Mobile applications,Wealth generation,8.0,,aggressive
Male,35,1,300000,"Banking - RD, FD",2000.0,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,10.0,,conservative
Male,37,1,400000,"Banking - RD, FD",5000.0,Agents/Investment brokers,News articles / Current affairs,Tax saving,21.0,,conservative
Female,23,1,400000,"Banking - RD, FD",15000.0,Family member,Family members/Friends,Personal Savings,2.0,,moderate
Male,18,0,0,Crypto currency,5000.0,Social media/ Articles,Mobile applications,Construction of own House / Buying a new Car,5.0,,aggressive
Male,20,0,0,Mutual Funds,600.0,Friends,Books,Children's education/ Marriage,15.0,,moderate
Female,24,0,0,Gold / Any other Materialistic investment,500.0,Through Bank,Family members/Friends,Wealth generation,7.0,,moderate
Female,26,1,350000,Gold / Any other Materialistic investment,2500.0,Schemes,Family members/Friends,Personal Savings,5.0,,conservative
Female,27,0,0,Gold / Any other Materialistic investment,1500.0,Family member,Family members/Friends,Wealth generation,6.0,,moderate
Male,25,1,200000,Mutual Funds,1000.0,Friends,Family members/Friends,Wealth generation,10.0,,aggressive
Female,32,1,300000,"Banking - RD, FD",5000.0,Through Bank,Investors in bank,Planning for finacial freedom after Retirement,15.0,,conservative
Male,26,1,250000,"Stocks - Intraday, long term",1500.0,Social media/ Articles,Mobile applications,Tax saving,5.0,,aggressive
Male,25,1,300000,Mutual Funds,5000.0,Self,Family members/Friends,Wealth generation,10.0,,aggressive
Male,24,0,0,"Stocks - Intraday, long term",500.0,Friends,Mobile applications,Wealth generation,5.0,,aggressive
Female,21,0,0,"Banking - RD, FD",500.0,Family member,Family members/Friends,Personal Savings,5.0,,conservative
Male,28,1,350000,Gold / Any other Materialistic investment,1500.0,Agents/Investment brokers,Family members/Friends,Regarding your / Your Siblings marriage,5.0,,conservative
Male,26,1,250000,"Stocks - Intraday, long term",1000.0,Social media/ Articles,Mobile applications,Wealth generation,10.0,,aggressive
Male,27,1,400000,"Real estate, Bonds",8500.0,Agents/Investment brokers,Family members/Friends,Construction of own House / Buying a new Car,5.0,,aggressive
Female,24,0,0,"Banking - RD, FD",1000.0,Family member,Family members/Friends,Personal Savings,8.0,,conservative
Female,26,1,250000,Mutual Funds,2500.0,Through Bank,Mobile applications,Wealth generation,8.0,,aggressive
Male,21,1,120000,"Stocks - Intraday, long term",500.0,Friends,News articles / Current affairs,Wealth generation,5.0,,aggressive
Male,23,1,200000,Mutual Funds,1500.0,Social media/ Articles,News articles / Current affairs,Planning for finacial freedom after Retirement,9.0,,aggressive
Female,22,1,120000,Mutual Funds,1500.0,Social media/ Articles,Books,Wealth generation,8.0,,aggressive
Male,25,1,260000,Gold / Any other Materialistic investment,2000.0,Social media/ Articles,Family members/Friends,Regarding your / Your Siblings marriage,5.0,,conservative
Male,22,0,0,"Stocks - Intraday, long term",500.0,Social media/ Articles,Mobile applications,Wealth generation,10.0,,aggressive
Male,29,1,250000,Mutual Funds,2000.0,Through Bank,News articles / Current affairs,Personal Savings,2.0,,moderate
Female,23,1,150000,"Banking - RD, FD",1000.0,Family member,Family members/Friends,Construction of own House / Buying a new Car,10.0,,moderate
Female,22,0,0,Mutual Funds,1000.0,Through Bank,Mobile applications,Wealth generation,6.0,,aggressive
Male,26,1,250000,"Stocks - Intraday, long term",1500.0,Agents/Investment brokers,Family members/Friends,Planning for finacial freedom after Retirement,10.0,,aggressive
