age,annual_income,net_worth,savings_rate,debt_ratio,employment_years,investment_experience_years,time_horizon_years,emergency_fund_months,employment_status,primary_goal,liquidity_need,resources_used,q1,q2,q3,q4,q5,risk_tolerance,risk_capacity,combined_score,investor_type,stocks_target,bonds_target,cash_target,alts_target,curr_stock,curr_bonds,curr_cash,curr_alts
19,10170,82571,0.289,0.27,0,5,16,2,employee,income,low,friends,4,2,3,1,4,0.57,0.338,0.486,moderate,0.625,0.25,0.083,0.042,0.678,0.259,0.058,0.006
29,10225,83917,0.139,0.371,11,5,6,1,unemployed,home_purchase,low,online,3,2,3,2,4,0.55,0.232,0.415,moderate,0.559,0.294,0.098,0.049,0.536,0.314,0.113,0.038
26,10241,86230,0.125,0.316,8,2,10,2,unemployed,retirement,low,online,2,4,2,5,5,0.68,0.262,0.503,moderate,0.591,0.273,0.091,0.045,0.644,0.246,0.104,0.006
24,10330,87068,0.38,0.233,4,1,6,1,retired,wealth_generation,medium,online,5,5,2,2,5,0.79,0.3,0.565,moderate,0.559,0.294,0.098,0.049,0.557,0.304,0.09,0.049
31,10393,90057,0.159,0.546,7,4,15,3,retired,education,low,online,3,4,2,2,4,0.61,0.192,0.463,moderate,0.625,0.25,0.083,0.042,0.58,0.264,0.104,0.052
33,10442,91462,0.129,0.095,16,15,19,0,employee,retirement,medium,books,1,4,4,2,3,0.56,0.431,0.454,moderate,0.625,0.25,0.083,0.042,0.624,0.257,0.069,0.051
32,10501,94491,0.131,0.146,8,16,20,6,unemployed,retirement,medium,books,3,3,4,2,5,0.67,0.359,0.506,moderate,0.625,0.25,0.083,0.042,0.652,0.245,0.101,0.002
23,10519,97120,0.088,0.201,5,11,14,7,student,income,medium,none,3,3,5,1,5,0.68,0.328,0.595,moderate,0.619,0.254,0.085,0.042,0.589,0.259,0.076,0.076
26,10538,97295,0.155,0.156,4,5,9,2,self-employed,income,medium,advisor,3,2,2,2,3,0.48,0.357,0.427,moderate,0.583,0.278,0.093,0.046,0.556,0.301,0.088,0.055
29,10561,98513,0.141,0.305,13,2,14,2,retired,retirement,medium,books,3,4,3,2,4,0.65,0.292,0.511,moderate,0.619,0.254,0.085,0.042,0.652,0.269,0.068,0.011
32,10582,103693,0.106,0.045,16,8,19,1,employee,retirement,low,books,5,4,3,4,4,0.81,0.457,0.633,moderate,0.625,0.25,0.083,0.042,0.582,0.252,0.099,0.067
25,10689,104671,0.079,0.133,2,8,14,6,retired,retirement,low,friends,5,3,2,4,3,0.69,0.366,0.575,moderate,0.619,0.254,0.085,0.042,0.672,0.259,0.069,0.0
27,10712,105189,0.115,0.183,3,6,10,4,self-employed,wealth_generation,low,books,2,4,5,2,2,0.62,0.35,0.553,moderate,0.591,0.273,0.091,0.045,0.578,0.264,0.097,0.061
22,10719,106262,0.155,0.328,4,9,22,4,employee,education,low,online,3,4,3,4,3,0.68,0.329,0.583,moderate,0.625,0.25,0.083,0.042,0.646,0.233,0.095,0.026
22,10724,107722,0.041,0.428,1,10,19,6,self-employed,wealth_generation,low,online,4,2,2,3,2,0.53,0.263,0.378,moderate,0.625,0.25,0.083,0.042,0.584,0.249,0.129,0.037
32,10735,109604,0.077,0.381,14,11,20,6,student,retirement,low,none,3,1,3,3,2,0.47,0.268,0.424,moderate,0.625,0.25,0.083,0.042,0.583,0.255,0.107,0.056
34,10779,112111,0.281,0.135,13,7,21,5,employee,wealth_generation,medium,books,3,3,4,2,3,0.61,0.422,0.535,moderate,0.625,0.25,0.083,0.042,0.657,0.219,0.123,0.0
27,10797,113193,0.161,0.283,5,11,9,5,unemployed,wealth_generation,medium,online,4,3,3,2,5,0.68,0.278,0.443,moderate,0.583,0.278,0.093,0.046,0.604,0.271,0.124,0.001
33,10811,113301,0.044,0.036,13,0,19,5,employee,wealth_generation,low,none,3,3,5,3,5,0.74,0.464,0.583,moderate,0.625,0.25,0.083,0.042,0.589,0.231,0.103,0.078
29,10821,114069,0.193,0.19,11,9,13,5,retired,wealth_generation,low,books,2,3,2,3,3,0.51,0.341,0.386,moderate,0.612,0.259,0.086,0.043,0.653,0.22,0.094,0.033
24,10844,114899,0.043,0.385,1,3,2,3,self-employed,retirement,medium,books,3,3,3,3,2,0.57,0.248,0.459,moderate,0.521,0.319,0.106,0.053,0.539,0.331,0.097,0.033
29,10862,116815,0.203,0.243,9,4,14,7,retired,wealth_generation,low,books,4,2,3,2,2,0.54,0.321,0.447,moderate,0.619,0.254,0.085,0.042,0.609,0.235,0.116,0.041
35,10877,117086,0.206,0.119,19,1,11,4,employee,retirement,low,online,2,3,3,2,3,0.52,0.401,0.453,moderate,0.598,0.268,0.089,0.045,0.589,0.282,0.123,0.006
27,10961,118434,0.183,0.237,3,3,7,3,retired,wealth_generation,medium,advisor,2,2,4,2,3,0.51,0.306,0.426,moderate,0.567,0.288,0.096,0.048,0.551,0.241,0.145,0.063
35,11057,118781,0.202,0.142,17,20,26,3,self-employed,retirement,low,online,5,4,3,3,4,0.78,0.417,0.688,aggressive,0.792,0.125,0.042,0.042,0.785,0.117,0.067,0.031
18,11062,119785,0.054,0.221,1,6,3,4,retired,home_purchase,medium,online,3,4,3,4,3,0.68,0.303,0.52,moderate,0.531,0.312,0.104,0.052,0.487,0.324,0.14,0.05
32,11091,122777,0.2,0.255,14,14,23,3,employee,home_purchase,low,online,5,3,1,3,4,0.65,0.37,0.548,moderate,0.625,0.25,0.083,0.042,0.64,0.23,0.086,0.044
28,11108,123475,0.071,0.204,6,2,5,5,retired,wealth_generation,low,online,5,2,1,3,3,0.57,0.315,0.487,moderate,0.55,0.3,0.1,0.05,0.587,0.296,0.085,0.032
26,11113,124445,0.121,0.483,3,3,9,1,retired,education,low,none,2,3,3,4,3,0.58,0.212,0.396,moderate,0.583,0.278,0.093,0.046,0.575,0.276,0.098,0.051
28,11183,124539,0.277,0.282,11,7,10,6,employee,wealth_generation,low,online,3,3,2,5,4,0.65,0.326,0.537,moderate,0.591,0.273,0.091,0.045,0.601,0.279,0.067,0.052
18,11218,124974,0.154,0.406,0,5,16,2,employee,wealth_generation,medium,books,2,2,2,4,2,0.46,0.282,0.416,moderate,0.625,0.25,0.083,0.042,0.661,0.251,0.06,0.028
26,11273,125143,0.299,0.362,6,8,6,1,employee,wealth_generation,low,advisor,3,1,4,4,3,0.57,0.281,0.484,moderate,0.559,0.294,0.098,0.049,0.542,0.286,0.102,0.07
29,11291,125202,0.055,0.319,5,6,28,5,employee,wealth_generation,high,online,3,4,3,4,2,0.65,0.351,0.526,moderate,0.625,0.25,0.083,0.042,0.665,0.232,0.089,0.014
35,11291,126522,0.149,0.258,13,11,16,2,employee,income,low,online,3,3,4,3,3,0.64,0.352,0.553,moderate,0.625,0.25,0.083,0.042,0.605,0.258,0.077,0.06
25,11315,129502,0.043,0.003,9,6,17,5,retired,wealth_generation,low,online,2,4,1,4,3,0.55,0.437,0.519,moderate,0.625,0.25,0.083,0.042,0.65,0.213,0.074,0.063
23,11349,129562,0.179,0.301,7,7,4,2,employee,income,medium,none,3,3,3,3,2,0.57,0.304,0.466,moderate,0.541,0.306,0.102,0.051,0.569,0.281,0.091,0.059
25,11379,129588,0.05,0.207,4,4,11,6,self-employed,wealth_generation,medium,advisor,3,3,2,4,3,0.59,0.348,0.52,moderate,0.598,0.268,0.089,0.045,0.562,0.249,0.093,0.096
32,11398,130232,0.083,0.101,8,9,23,2,self-employed,retirement,low,books,2,2,2,3,3,0.46,0.431,0.501,moderate,0.625,0.25,0.083,0.042,0.657,0.28,0.059,0.004
29,11411,131345,0.104,0.239,13,9,7,1,employee,retirement,low,none,4,3,2,4,2,0.61,0.339,0.529,moderate,0.567,0.288,0.096,0.048,0.547,0.286,0.104,0.063
25,11412,131806,0.206,0.35,7,5,5,6,employee,wealth_generation,medium,online,2,2,1,4,4,0.48,0.285,0.4,moderate,0.55,0.3,0.1,0.05,0.593,0.347,0.039,0.021
30,11531,132325,0.08,0.519,10,4,11,1,retired,income,medium,books,4,5,5,3,4,0.86,0.202,0.582,moderate,0.598,0.268,0.089,0.045,0.64,0.275,0.085,0.0
28,11563,134383,0.233,0.214,9,8,22,6,employee,wealth_generation,medium,online,3,3,2,3,3,0.56,0.391,0.508,moderate,0.625,0.25,0.083,0.042,0.592,0.279,0.07,0.059
32,11586,134686,0.07,0.274,16,15,11,5,self-employed,wealth_generation,low,online,5,4,2,2,4,0.71,0.319,0.558,moderate,0.598,0.268,0.089,0.045,0.582,0.331,0.087,0.0
24,11602,134978,0.029,0.411,5,2,10,1,student,retirement,low,online,4,4,3,3,4,0.73,0.239,0.567,moderate,0.591,0.273,0.091,0.045,0.604,0.273,0.072,0.051
26,11603,135951,0.133,0.199,7,11,14,3,employee,retirement,medium,none,2,3,4,4,3,0.62,0.377,0.494,moderate,0.619,0.254,0.085,0.042,0.649,0.247,0.056,0.048
26,11616,136608,0.314,0.115,7,7,23,1,employee,retirement,medium,advisor,5,5,3,3,4,0.83,0.443,0.706,aggressive,0.792,0.125,0.042,0.042,0.777,0.136,0.08,0.007
20,11618,136670,0.063,0.178,2,7,2,2,employee,education,medium,books,3,4,2,3,4,0.64,0.353,0.483,moderate,0.521,0.319,0.106,0.053,0.475,0.396,0.113,0.016
29,11623,138572,0.06,0.446,7,16,5,2,employee,home_purchase,medium,none,4,2,2,1,2,0.47,0.244,0.374,moderate,0.55,0.3,0.1,0.05,0.568,0.312,0.119,0.0
29,11642,138953,0.206,0.124,13,8,4,4,retired,retirement,low,books,2,4,3,3,3,0.6,0.348,0.517,moderate,0.541,0.306,0.102,0.051,0.532,0.27,0.139,0.059
28,11661,139225,0.115,0.197,11,12,3,7,employee,retirement,low,online,4,2,1,4,3,0.55,0.348,0.466,moderate,0.531,0.312,0.104,0.052,0.522,0.286,0.104,0.088
26,11664,140550,0.198,0.246,10,7,8,1,employee,wealth_generation,low,books,2,4,1,2,1,0.43,0.339,0.407,moderate,0.575,0.283,0.094,0.047,0.526,0.284,0.106,0.084
20,11701,141777,0.089,0.408,1,4,6,2,employee,retirement,low,friends,3,5,2,2,5,0.69,0.263,0.561,moderate,0.559,0.294,0.098,0.049,0.548,0.273,0.136,0.043
25,11737,142636,0.145,0.484,5,9,12,4,student,wealth_generation,low,none,4,5,3,3,4,0.78,0.214,0.537,moderate,0.605,0.263,0.088,0.044,0.631,0.271,0.05,0.047
26,11763,143736,0.105,0.232,6,14,8,2,employee,income,medium,books,3,3,1,5,3,0.58,0.346,0.444,moderate,0.575,0.283,0.094,0.047,0.535,0.319,0.053,0.093
23,11763,144064,0.144,0.477,6,12,10,4,employee,education,low,books,3,4,2,2,4,0.61,0.239,0.428,moderate,0.591,0.273,0.091,0.045,0.589,0.256,0.095,0.059
27,11777,145925,0.211,0.125,9,3,23,3,employee,retirement,medium,none,3,3,3,4,2,0.6,0.44,0.533,moderate,0.625,0.25,0.083,0.042,0.657,0.211,0.091,0.041
30,11795,146941,0.209,0.122,11,4,5,6,self-employed,retirement,low,online,4,3,3,2,3,0.62,0.37,0.557,moderate,0.55,0.3,0.1,0.05,0.571,0.332,0.08,0.017
37,11875,147320,0.156,0.499,16,7,9,4,employee,wealth_generation,low,books,3,4,4,3,2,0.66,0.228,0.478,moderate,0.583,0.278,0.093,0.046,0.646,0.235,0.108,0.011
28,11905,147811,0.268,0.262,7,7,7,3,student,income,low,books,3,3,3,4,2,0.6,0.294,0.542,moderate,0.567,0.288,0.096,0.048,0.594,0.239,0.052,0.115
29,11923,148358,0.105,0.137,12,3,12,4,employee,education,low,advisor,1,4,3,3,2,0.52,0.402,0.435,moderate,0.605,0.263,0.088,0.044,0.678,0.252,0.053,0.017
27,11989,148586,0.099,0.255,10,3,16,5,employee,retirement,low,friends,4,3,3,3,1,0.59,0.357,0.445,moderate,0.625,0.25,0.083,0.042,0.6,0.244,0.067,0.088
18,11995,148897,0.176,0.373,0,10,18,5,retired,retirement,low,books,3,4,3,3,3,0.65,0.28,0.509,moderate,0.625,0.25,0.083,0.042,0.585,0.188,0.159,0.067
27,12020,149360,0.177,0.396,10,10,12,2,employee,wealth_generation,low,online,4,4,3,3,3,0.7,0.281,0.516,moderate,0.605,0.263,0.088,0.044,0.624,0.281,0.095,0.0
28,12076,149572,0.035,0.419,11,12,19,3,employee,retirement,low,books,3,2,4,4,4,0.65,0.285,0.481,moderate,0.625,0.25,0.083,0.042,0.636,0.268,0.097,0.0
40,12095,150236,0.174,0.284,22,15,17,3,employee,retirement,medium,online,2,2,5,4,2,0.58,0.346,0.487,moderate,0.625,0.25,0.083,0.042,0.642,0.269,0.083,0.005
27,12099,150349,0.128,0.421,3,4,5,3,employee,retirement,low,online,4,3,1,1,3,0.51,0.256,0.372,moderate,0.55,0.3,0.1,0.05,0.574,0.291,0.091,0.044
29,12155,150806,0.205,0.263,8,12,7,2,employee,education,high,books,5,5,4,4,3,0.87,0.332,0.671,aggressive,0.76,0.144,0.048,0.048,0.696,0.197,0.08,0.027
27,12190,151172,0.221,0.298,6,9,15,4,retired,retirement,low,books,4,1,4,2,2,0.53,0.307,0.447,moderate,0.625,0.25,0.083,0.042,0.577,0.271,0.108,0.044
22,12208,152291,0.163,0.361,2,16,26,0,self-employed,wealth_generation,high,online,4,4,2,4,4,0.72,0.316,0.548,moderate,0.625,0.25,0.083,0.042,0.671,0.218,0.111,0.0
33,12216,152549,0.002,0.232,11,4,9,2,self-employed,education,medium,books,3,3,5,3,3,0.68,0.336,0.549,moderate,0.583,0.278,0.093,0.046,0.584,0.296,0.082,0.038
31,12228,152776,0.18,0.072,12,4,6,1,student,retirement,low,online,3,3,4,4,3,0.67,0.368,0.607,moderate,0.559,0.294,0.098,0.049,0.58,0.319,0.1,0.001
31,12249,154120,0.206,0.205,13,9,20,1,employee,home_purchase,low,online,2,5,3,1,5,0.65,0.393,0.54,moderate,0.625,0.25,0.083,0.042,0.629,0.215,0.066,0.09
23,12275,156541,0.101,0.305,1,14,6,2,employee,retirement,medium,online,4,5,4,5,2,0.82,0.311,0.602,moderate,0.559,0.294,0.098,0.049,0.516,0.304,0.119,0.061
35,12287,156650,0.146,0.14,19,11,15,5,employee,wealth_generation,medium,books,2,3,2,3,3,0.51,0.411,0.491,moderate,0.625,0.25,0.083,0.042,0.64,0.219,0.114,0.027
20,12307,158953,0.297,0.118,0,10,2,7,employee,retirement,low,advisor,2,2,3,4,2,0.5,0.383,0.433,moderate,0.521,0.319,0.106,0.053,0.495,0.365,0.124,0.016
30,12319,159795,0.112,0.183,13,5,2,3,employee,home_purchase,low,online,4,2,1,3,2,0.49,0.355,0.45,moderate,0.521,0.319,0.106,0.053,0.502,0.261,0.154,0.083
38,12326,161988,0.095,0.038,21,10,10,2,retired,wealth_generation,low,friends,2,2,2,2,2,0.4,0.406,0.427,moderate,0.591,0.273,0.091,0.045,0.606,0.248,0.094,0.052
23,12334,162168,0.092,0.354,0,11,14,5,employee,wealth_generation,low,online,2,1,1,5,3,0.43,0.307,0.423,moderate,0.619,0.254,0.085,0.042,0.596,0.249,0.134,0.021
25,12375,163191,0.165,0.169,7,10,5,1,employee,retirement,low,online,5,3,3,3,4,0.73,0.37,0.576,moderate,0.55,0.3,0.1,0.05,0.574,0.288,0.054,0.083
28,12390,163720,0.283,0.105,4,9,17,1,unemployed,retirement,medium,books,2,3,3,1,4,0.52,0.381,0.425,moderate,0.625,0.25,0.083,0.042,0.641,0.281,0.055,0.023
25,12394,167095,0.175,0.335,6,1,4,2,employee,wealth_generation,low,books,4,1,2,3,4,0.54,0.294,0.434,moderate,0.541,0.306,0.102,0.051,0.518,0.308,0.129,0.045
20,12414,167865,0.114,0.406,0,9,12,3,employee,education,medium,friends,5,2,5,3,3,0.73,0.279,0.555,moderate,0.605,0.263,0.088,0.044,0.582,0.297,0.072,0.049
28,12443,167997,0.181,0.025,12,6,8,5,unemployed,retirement,low,online,4,3,3,5,3,0.71,0.386,0.562,moderate,0.575,0.283,0.094,0.047,0.557,0.282,0.133,0.029
22,12449,168250,0.178,0.158,4,16,16,6,employee,home_purchase,high,advisor,2,2,4,4,1,0.51,0.407,0.473,moderate,0.625,0.25,0.083,0.042,0.597,0.275,0.128,0.0
30,12476,168848,0.172,0.494,11,8,18,3,employee,wealth_generation,low,none,1,3,4,2,1,0.45,0.248,0.422,moderate,0.625,0.25,0.083,0.042,0.612,0.258,0.084,0.046
23,12481,171515,0.078,0.218,3,8,3,3,employee,wealth_generation,high,friends,2,5,3,4,4,0.71,0.344,0.546,moderate,0.531,0.312,0.104,0.052,0.591,0.322,0.03,0.057
35,12483,171689,0.18,0.485,19,21,6,2,employee,retirement,medium,online,2,3,3,3,4,0.58,0.232,0.416,moderate,0.559,0.294,0.098,0.049,0.578,0.261,0.081,0.079
24,12525,171959,0.139,0.175,5,1,21,3,employee,retirement,medium,advisor,5,4,4,5,3,0.85,0.413,0.703,aggressive,0.792,0.125,0.042,0.042,0.797,0.133,0.01,0.06
26,12528,175242,0.017,0.151,6,4,10,6,employee,wealth_generation,low,advisor,4,4,4,3,2,0.71,0.394,0.546,moderate,0.591,0.273,0.091,0.045,0.596,0.261,0.094,0.048
32,12534,175485,0.161,0.15,13,9,11,3,employee,income,medium,none,3,3,2,3,2,0.53,0.397,0.477,moderate,0.598,0.268,0.089,0.045,0.547,0.281,0.081,0.091
21,12548,175860,0.335,0.08,0,4,5,2,retired,retirement,low,advisor,2,3,2,2,4,0.51,0.374,0.44,moderate,0.55,0.3,0.1,0.05,0.579,0.272,0.118,0.031
29,12590,176081,0.123,0.443,6,5,31,2,retired,retirement,low,friends,4,5,3,4,3,0.78,0.276,0.529,moderate,0.625,0.25,0.083,0.042,0.64,0.217,0.088,0.056
34,12593,178618,0.297,0.561,11,13,22,3,employee,wealth_generation,low,none,3,3,4,3,2,0.61,0.222,0.45,moderate,0.625,0.25,0.083,0.042,0.64,0.217,0.096,0.048
19,12612,181292,0.057,0.507,1,8,1,4,employee,retirement,low,online,3,2,4,2,2,0.53,0.214,0.385,moderate,0.511,0.326,0.109,0.054,0.454,0.343,0.149,0.053
